threshold	n	prop
0	23963	1
0.01	15021	0.626841380461545
0.05	10826	0.451779827233652
0.1	9005	0.375787672662021
0.2	6927	0.289070650586321
0.3	5510	0.229937820807078
0.4	4377	0.18265659558486
0.5	3477	0.145098693819639
0.6	2639	0.110128114176021
0.7	1938	0.08087468180111
0.8	1282	0.0534991445144598
0.9	695	0.0290030463631432
