phenotype	tissue	intron	pvalue	rcp
Astle_et_al_2016_Eosinophil_counts	Adipose_Subcutaneous	intron_15_79961174_79970700	2.11814870899498e-20	0.515
Astle_et_al_2016_Eosinophil_counts	Adipose_Subcutaneous	intron_10_26496391_26496908	7.47687730397115e-17	0.511
Astle_et_al_2016_Eosinophil_counts	Adipose_Subcutaneous	intron_8_144103225_144103553	8.75798951229875e-16	0.632
Astle_et_al_2016_Eosinophil_counts	Adipose_Subcutaneous	intron_8_144103225_144104025	1.72993912019036e-15	0.807
Astle_et_al_2016_Eosinophil_counts	Adipose_Subcutaneous	intron_9_91214425_91217277	2.89200240037118e-14	0.552
Astle_et_al_2016_Eosinophil_counts	Adipose_Subcutaneous	intron_1_8422807_8465925	2.12699645286334e-12	0.707
Astle_et_al_2016_Eosinophil_counts	Adipose_Subcutaneous	intron_8_118928929_118932931	1.09878325202726e-09	0.849
Astle_et_al_2016_Eosinophil_counts	Adipose_Subcutaneous	intron_9_136432586_136432956	2.10898320542645e-09	0.777
Astle_et_al_2016_Eosinophil_counts	Adipose_Subcutaneous	intron_9_136432583_136432956	6.41346978112582e-09	0.777
Astle_et_al_2016_Eosinophil_counts	Adipose_Subcutaneous	intron_11_57415106_57417748	2.64800357708046e-08	0.683
Astle_et_al_2016_Eosinophil_counts	Adipose_Subcutaneous	intron_11_57416670_57417748	2.64800357708048e-08	0.815
Astle_et_al_2016_Eosinophil_counts	Adipose_Visceral_Omentum	intron_8_144103225_144103553	1.44287310522522e-15	0.631
Astle_et_al_2016_Eosinophil_counts	Adipose_Visceral_Omentum	intron_8_144103225_144103847	1.87265802261716e-14	0.852
Astle_et_al_2016_Eosinophil_counts	Adipose_Visceral_Omentum	intron_9_91214425_91217277	2.73200105991757e-14	0.506
Astle_et_al_2016_Eosinophil_counts	Adipose_Visceral_Omentum	intron_3_112333224_112344962	8.45321119702936e-14	0.675
Astle_et_al_2016_Eosinophil_counts	Adipose_Visceral_Omentum	intron_3_112340983_112344962	8.22439902340278e-13	0.669
Astle_et_al_2016_Eosinophil_counts	Adipose_Visceral_Omentum	intron_9_136432586_136432956	1.77899777950269e-09	0.734
Astle_et_al_2016_Eosinophil_counts	Adipose_Visceral_Omentum	intron_9_136432583_136432956	3.37624519779854e-09	0.733
Astle_et_al_2016_Eosinophil_counts	Adipose_Visceral_Omentum	intron_9_136433279_136434037	1.03634527585812e-08	0.581
Astle_et_al_2016_Eosinophil_counts	Adrenal_Gland	intron_8_144103225_144103553	8.285755905623e-16	0.672
Astle_et_al_2016_Eosinophil_counts	Adrenal_Gland	intron_8_144103225_144103847	5.05270322613332e-15	0.75
Astle_et_al_2016_Eosinophil_counts	Adrenal_Gland	intron_9_136432586_136432956	5.43171737440374e-09	0.715
Astle_et_al_2016_Eosinophil_counts	Adrenal_Gland	intron_9_136432583_136432956	8.07315259606855e-09	0.71
Astle_et_al_2016_Eosinophil_counts	Artery_Aorta	intron_8_144103225_144103553	8.75798951229894e-16	0.727
Astle_et_al_2016_Eosinophil_counts	Artery_Aorta	intron_8_144103225_144104025	1.06635147648784e-15	0.685
Astle_et_al_2016_Eosinophil_counts	Artery_Aorta	intron_3_112333224_112340902	6.58599849472595e-14	0.705
Astle_et_al_2016_Eosinophil_counts	Artery_Aorta	intron_3_112333224_112344962	1.04269483924053e-13	0.717
Astle_et_al_2016_Eosinophil_counts	Artery_Aorta	intron_1_8422807_8424788	2.63895170508567e-12	0.569
Astle_et_al_2016_Eosinophil_counts	Artery_Aorta	intron_8_118930768_118932931	8.92499759705781e-10	0.849
Astle_et_al_2016_Eosinophil_counts	Artery_Aorta	intron_8_118928929_118932931	8.92499759705798e-10	0.809
Astle_et_al_2016_Eosinophil_counts	Artery_Aorta	intron_9_136432586_136432956	6.55879892416524e-09	0.752
Astle_et_al_2016_Eosinophil_counts	Artery_Aorta	intron_9_136432583_136432956	7.58239739914175e-09	0.752
Astle_et_al_2016_Eosinophil_counts	Artery_Coronary	intron_8_144103225_144104025	1.11297795311736e-15	0.64
Astle_et_al_2016_Eosinophil_counts	Artery_Coronary	intron_1_8422807_8424015	2.12699645286338e-12	0.639
Astle_et_al_2016_Eosinophil_counts	Artery_Coronary	intron_19_48954962_48956198	1.13200162402906e-09	0.52
Astle_et_al_2016_Eosinophil_counts	Artery_Coronary	intron_9_136432583_136432956	5.32500307867276e-09	0.693
Astle_et_al_2016_Eosinophil_counts	Artery_Coronary	intron_9_136432586_136432956	5.32500307867276e-09	0.66
Astle_et_al_2016_Eosinophil_counts	Artery_Coronary	intron_9_136433279_136434037	8.57491952227421e-09	0.601
Astle_et_al_2016_Eosinophil_counts	Artery_Tibial	intron_3_112333224_112344962	6.58599849472602e-14	0.658
Astle_et_al_2016_Eosinophil_counts	Artery_Tibial	intron_3_112340983_112344962	8.94574469404051e-13	0.627
Astle_et_al_2016_Eosinophil_counts	Artery_Tibial	intron_19_48954962_48955687	1.03800162146297e-10	0.534
Astle_et_al_2016_Eosinophil_counts	Artery_Tibial	intron_8_118928929_118932931	8.92499759705788e-10	0.841
Astle_et_al_2016_Eosinophil_counts	Artery_Tibial	intron_8_118930768_118932931	8.92499759705798e-10	0.788
Astle_et_al_2016_Eosinophil_counts	Artery_Tibial	intron_9_136432583_136432956	1.86895712807211e-09	0.714
Astle_et_al_2016_Eosinophil_counts	Artery_Tibial	intron_9_136432586_136432956	6.05582897004353e-09	0.682
Astle_et_al_2016_Eosinophil_counts	Artery_Tibial	intron_9_136433075_136433155	7.37432577447787e-09	0.579
Astle_et_al_2016_Eosinophil_counts	Brain_Anterior_cingulate_cortex_BA24	intron_9_136432583_136432956	1.77899777950269e-09	0.516
Astle_et_al_2016_Eosinophil_counts	Brain_Anterior_cingulate_cortex_BA24	intron_9_136432586_136432956	2.49805750153369e-09	0.516
Astle_et_al_2016_Eosinophil_counts	Brain_Caudate_basal_ganglia	intron_12_57099903_57099996	1.80599466022615e-17	0.747
Astle_et_al_2016_Eosinophil_counts	Brain_Cerebellar_Hemisphere	intron_12_904494_907847	1.04900098093955e-10	0.539
Astle_et_al_2016_Eosinophil_counts	Brain_Cerebellar_Hemisphere	intron_12_904494_906317	1.4262194520867e-10	0.695
Astle_et_al_2016_Eosinophil_counts	Brain_Cerebellar_Hemisphere	intron_16_68275249_68287746	1.10899995262825e-09	0.617
Astle_et_al_2016_Eosinophil_counts	Brain_Cerebellar_Hemisphere	intron_9_136432583_136432956	1.77899777950269e-09	0.651
Astle_et_al_2016_Eosinophil_counts	Brain_Cerebellar_Hemisphere	intron_9_136432586_136432956	1.80480077939585e-09	0.651
Astle_et_al_2016_Eosinophil_counts	Brain_Cerebellum	intron_8_144103225_144103553	1.85335514637787e-16	0.547
Astle_et_al_2016_Eosinophil_counts	Brain_Cerebellum	intron_2_8302425_8312726	8.90102484366509e-16	0.505
Astle_et_al_2016_Eosinophil_counts	Brain_Cerebellum	intron_8_144103225_144103847	1.33980594822781e-15	0.603
Astle_et_al_2016_Eosinophil_counts	Brain_Cerebellum	intron_11_61803111_61803363	3.26132175269603e-12	0.553
Astle_et_al_2016_Eosinophil_counts	Brain_Cerebellum	intron_12_904494_907847	1.04900098093955e-10	0.692
Astle_et_al_2016_Eosinophil_counts	Brain_Cerebellum	intron_12_904494_906317	1.50173132663149e-10	0.716
Astle_et_al_2016_Eosinophil_counts	Brain_Cerebellum	intron_9_136432583_136432956	1.77899777950269e-09	0.673
Astle_et_al_2016_Eosinophil_counts	Brain_Cerebellum	intron_9_136432586_136432956	6.01999983755496e-09	0.672
Astle_et_al_2016_Eosinophil_counts	Brain_Cortex	intron_12_57099903_57099996	1.80599466022615e-17	0.875
Astle_et_al_2016_Eosinophil_counts	Brain_Cortex	intron_11_61803111_61803363	3.02799870580348e-12	0.708
Astle_et_al_2016_Eosinophil_counts	Brain_Cortex	intron_9_136432583_136432956	1.77899777950269e-09	0.677
Astle_et_al_2016_Eosinophil_counts	Brain_Cortex	intron_9_136432586_136432956	2.49347014668428e-09	0.682
Astle_et_al_2016_Eosinophil_counts	Brain_Frontal_Cortex_BA9	intron_11_61803111_61803363	3.02799870580348e-12	0.714
Astle_et_al_2016_Eosinophil_counts	Brain_Frontal_Cortex_BA9	intron_11_61790602_61792556	7.49730345170283e-11	0.522
Astle_et_al_2016_Eosinophil_counts	Brain_Frontal_Cortex_BA9	intron_9_136432583_136432956	6.08719634557374e-09	0.68
Astle_et_al_2016_Eosinophil_counts	Brain_Frontal_Cortex_BA9	intron_9_136432586_136432956	6.22240534368639e-09	0.679
Astle_et_al_2016_Eosinophil_counts	Brain_Hypothalamus	intron_8_144103225_144103847	3.74326979194184e-16	0.659
Astle_et_al_2016_Eosinophil_counts	Brain_Hypothalamus	intron_8_144103225_144103553	8.75798951229894e-16	0.532
Astle_et_al_2016_Eosinophil_counts	Brain_Hypothalamus	intron_9_136432583_136432956	1.82110145926293e-09	0.518
Astle_et_al_2016_Eosinophil_counts	Brain_Hypothalamus	intron_9_136432586_136432956	6.01999983755496e-09	0.517
Astle_et_al_2016_Eosinophil_counts	Brain_Nucleus_accumbens_basal_ganglia	intron_9_136432583_136432956	1.77899777950269e-09	0.578
Astle_et_al_2016_Eosinophil_counts	Brain_Nucleus_accumbens_basal_ganglia	intron_9_136432586_136432956	4.32579216921924e-09	0.576
Astle_et_al_2016_Eosinophil_counts	Brain_Putamen_basal_ganglia	intron_8_144103225_144104025	8.75798951229894e-16	0.522
Astle_et_al_2016_Eosinophil_counts	Brain_Putamen_basal_ganglia	intron_8_144103225_144103553	8.75798951229894e-16	0.571
Astle_et_al_2016_Eosinophil_counts	Brain_Putamen_basal_ganglia	intron_9_136432586_136432956	1.86384135205272e-09	0.59
Astle_et_al_2016_Eosinophil_counts	Brain_Putamen_basal_ganglia	intron_9_136432583_136432956	6.13783802340554e-09	0.584
Astle_et_al_2016_Eosinophil_counts	Breast_Mammary_Tissue	intron_5_132471054_132475667	1.77997659321623e-94	0.74
Astle_et_al_2016_Eosinophil_counts	Breast_Mammary_Tissue	intron_15_79961174_79970700	6.65599654113879e-17	0.765
Astle_et_al_2016_Eosinophil_counts	Breast_Mammary_Tissue	intron_8_144103225_144103553	3.14902240327401e-15	0.726
Astle_et_al_2016_Eosinophil_counts	Breast_Mammary_Tissue	intron_8_144103225_144103847	5.21250347135696e-14	0.98
Astle_et_al_2016_Eosinophil_counts	Breast_Mammary_Tissue	intron_11_61828597_61837778	3.08200289521933e-11	0.58
Astle_et_al_2016_Eosinophil_counts	Breast_Mammary_Tissue	intron_19_48954962_48955687	1.03800162146297e-10	0.625
Astle_et_al_2016_Eosinophil_counts	Breast_Mammary_Tissue	intron_9_136432583_136432956	6.01999983755496e-09	0.773
Astle_et_al_2016_Eosinophil_counts	Breast_Mammary_Tissue	intron_9_136432586_136432956	6.05148708016115e-09	0.773
Astle_et_al_2016_Eosinophil_counts	Cells_Cultured_fibroblasts	intron_19_45862027_45863058	1.64104603215279e-17	0.618
Astle_et_al_2016_Eosinophil_counts	Cells_Cultured_fibroblasts	intron_19_45854507_45863058	5.92243186579729e-17	0.612
Astle_et_al_2016_Eosinophil_counts	Cells_Cultured_fibroblasts	intron_8_144103225_144103847	4.96207645158622e-14	0.646
Astle_et_al_2016_Eosinophil_counts	Cells_Cultured_fibroblasts	intron_1_93290686_93305388	1.60941076795009e-12	0.524
Astle_et_al_2016_Eosinophil_counts	Cells_Cultured_fibroblasts	intron_19_48955833_48956198	2.23678010029186e-10	0.566
Astle_et_al_2016_Eosinophil_counts	Cells_Cultured_fibroblasts	intron_8_118928929_118932931	8.92499759705788e-10	0.906
Astle_et_al_2016_Eosinophil_counts	Cells_Cultured_fibroblasts	intron_8_118930768_118932931	8.92499759705798e-10	0.906
Astle_et_al_2016_Eosinophil_counts	Cells_Cultured_fibroblasts	intron_19_48955599_48956198	1.13200162402905e-09	0.609
Astle_et_al_2016_Eosinophil_counts	Cells_Cultured_fibroblasts	intron_9_136432583_136432956	1.77899777950269e-09	0.786
Astle_et_al_2016_Eosinophil_counts	Cells_Cultured_fibroblasts	intron_22_24225411_24225546	2.30999948184642e-09	0.884
Astle_et_al_2016_Eosinophil_counts	Cells_Cultured_fibroblasts	intron_9_136432586_136432956	4.21794615342478e-09	0.687
Astle_et_al_2016_Eosinophil_counts	Cells_EBV-transformed_lymphocytes	intron_5_132471054_132475667	1.68604758775656e-80	0.803
Astle_et_al_2016_Eosinophil_counts	Cells_EBV-transformed_lymphocytes	intron_10_26437851_26438652	5.63602599222216e-22	0.622
Astle_et_al_2016_Eosinophil_counts	Cells_EBV-transformed_lymphocytes	intron_8_127982479_127983904	1.04799936076702e-20	0.755
Astle_et_al_2016_Eosinophil_counts	Cells_EBV-transformed_lymphocytes	intron_8_127989291_127994883	1.0972467024676e-20	0.892
Astle_et_al_2016_Eosinophil_counts	Cells_EBV-transformed_lymphocytes	intron_15_79967692_79970700	1.78200074531279e-18	0.726
Astle_et_al_2016_Eosinophil_counts	Cells_EBV-transformed_lymphocytes	intron_15_79961174_79967637	1.78200074531281e-18	0.749
Astle_et_al_2016_Eosinophil_counts	Cells_EBV-transformed_lymphocytes	intron_15_79961174_79970700	1.78200074531281e-18	0.703
Astle_et_al_2016_Eosinophil_counts	Cells_EBV-transformed_lymphocytes	intron_12_57100090_57100846	1.80599466022616e-17	0.802
Astle_et_al_2016_Eosinophil_counts	Cells_EBV-transformed_lymphocytes	intron_8_144103225_144103847	2.38484360194729e-15	0.512
Astle_et_al_2016_Eosinophil_counts	Cells_EBV-transformed_lymphocytes	intron_8_144103225_144104025	6.06933188011494e-15	0.503
Astle_et_al_2016_Eosinophil_counts	Cells_EBV-transformed_lymphocytes	intron_3_112333224_112344962	1.66612383989451e-13	0.566
Astle_et_al_2016_Eosinophil_counts	Cells_EBV-transformed_lymphocytes	intron_19_1104127_1105186	9.78900317432572e-12	0.919
Astle_et_al_2016_Eosinophil_counts	Cells_EBV-transformed_lymphocytes	intron_19_1104929_1105186	1.59956094063185e-11	0.832
Astle_et_al_2016_Eosinophil_counts	Cells_EBV-transformed_lymphocytes	intron_1_8438300_8465925	1.03922809648056e-09	0.637
Astle_et_al_2016_Eosinophil_counts	Cells_EBV-transformed_lymphocytes	intron_9_136432586_136432956	2.26309864505469e-09	0.827
Astle_et_al_2016_Eosinophil_counts	Cells_EBV-transformed_lymphocytes	intron_9_136432583_136432956	6.84541816970743e-09	0.834
Astle_et_al_2016_Eosinophil_counts	Cells_EBV-transformed_lymphocytes	intron_7_128937834_128942071	2.16500271466829e-08	0.869
Astle_et_al_2016_Eosinophil_counts	Colon_Sigmoid	intron_14_93951244_93953352	4.82970337456149e-17	0.501
Astle_et_al_2016_Eosinophil_counts	Colon_Sigmoid	intron_9_136432586_136432956	1.77899777950266e-09	0.58
Astle_et_al_2016_Eosinophil_counts	Colon_Sigmoid	intron_9_136432583_136432956	1.77899777950266e-09	0.629
Astle_et_al_2016_Eosinophil_counts	Colon_Transverse	intron_8_144103225_144103553	2.14217308983557e-15	0.694
Astle_et_al_2016_Eosinophil_counts	Colon_Transverse	intron_8_144103225_144103847	2.65717502708853e-14	0.757
Astle_et_al_2016_Eosinophil_counts	Colon_Transverse	intron_9_136432586_136432956	1.7773052179512e-09	0.713
Astle_et_al_2016_Eosinophil_counts	Colon_Transverse	intron_9_136432583_136432956	4.05142674141257e-09	0.702
Astle_et_al_2016_Eosinophil_counts	Esophagus_Gastroesophageal_Junction	intron_14_93951244_93953352	1.14400294101171e-20	0.762
Astle_et_al_2016_Eosinophil_counts	Esophagus_Gastroesophageal_Junction	intron_2_241744877_241748827	7.21101004247711e-10	0.556
Astle_et_al_2016_Eosinophil_counts	Esophagus_Gastroesophageal_Junction	intron_11_308438_309013	2.06200579147673e-09	0.533
Astle_et_al_2016_Eosinophil_counts	Esophagus_Gastroesophageal_Junction	intron_9_136432586_136432956	6.01999983755496e-09	0.715
Astle_et_al_2016_Eosinophil_counts	Esophagus_Gastroesophageal_Junction	intron_9_136432583_136432956	8.08443998775979e-09	0.715
Astle_et_al_2016_Eosinophil_counts	Esophagus_Mucosa	intron_14_93951244_93953352	1.14400294101174e-20	0.613
Astle_et_al_2016_Eosinophil_counts	Esophagus_Mucosa	intron_8_144103225_144103553	8.75798951229894e-16	0.761
Astle_et_al_2016_Eosinophil_counts	Esophagus_Mucosa	intron_8_144103225_144104025	1.03233360447473e-15	0.683
Astle_et_al_2016_Eosinophil_counts	Esophagus_Mucosa	intron_1_8422807_8465925	2.12699645286338e-12	0.758
Astle_et_al_2016_Eosinophil_counts	Esophagus_Mucosa	intron_11_308438_309013	6.6480694027647e-10	0.86
Astle_et_al_2016_Eosinophil_counts	Esophagus_Mucosa	intron_9_136432586_136432956	7.94215594759259e-09	0.754
Astle_et_al_2016_Eosinophil_counts	Esophagus_Mucosa	intron_9_136432583_136432956	9.93295906823999e-09	0.665
Astle_et_al_2016_Eosinophil_counts	Esophagus_Muscularis	intron_14_93951244_93953352	5.21200023368032e-17	0.997
Astle_et_al_2016_Eosinophil_counts	Esophagus_Muscularis	intron_8_144103225_144103553	9.21328643168749e-16	0.732
Astle_et_al_2016_Eosinophil_counts	Esophagus_Muscularis	intron_14_93953507_93954317	5.16415090529413e-15	0.966
Astle_et_al_2016_Eosinophil_counts	Esophagus_Muscularis	intron_8_144103225_144103847	7.0162196632708e-15	0.779
Astle_et_al_2016_Eosinophil_counts	Esophagus_Muscularis	intron_9_136432583_136432956	2.5761119637245e-09	0.723
Astle_et_al_2016_Eosinophil_counts	Esophagus_Muscularis	intron_9_136432586_136432956	4.80078356665474e-09	0.724
Astle_et_al_2016_Eosinophil_counts	Heart_Atrial_Appendage	intron_14_93951244_93953352	1.14400294101174e-20	0.797
Astle_et_al_2016_Eosinophil_counts	Heart_Atrial_Appendage	intron_12_57099903_57099996	1.80599466022615e-17	0.902
Astle_et_al_2016_Eosinophil_counts	Heart_Atrial_Appendage	intron_12_57099819_57099996	1.80599466022616e-17	0.903
Astle_et_al_2016_Eosinophil_counts	Heart_Atrial_Appendage	intron_8_144103225_144104025	7.03144185859963e-16	0.841
Astle_et_al_2016_Eosinophil_counts	Heart_Atrial_Appendage	intron_3_112349819_112361543	6.52599769338418e-14	0.587
Astle_et_al_2016_Eosinophil_counts	Heart_Atrial_Appendage	intron_3_112333224_112344962	6.58599849472595e-14	0.527
Astle_et_al_2016_Eosinophil_counts	Heart_Atrial_Appendage	intron_16_68275249_68284880	1.10899995262825e-09	0.778
Astle_et_al_2016_Eosinophil_counts	Heart_Atrial_Appendage	intron_9_136432586_136432956	1.79335776143512e-09	0.731
Astle_et_al_2016_Eosinophil_counts	Heart_Atrial_Appendage	intron_16_68285013_68287746	1.80400126639943e-09	0.607
Astle_et_al_2016_Eosinophil_counts	Heart_Atrial_Appendage	intron_9_136432583_136432956	6.01999983755496e-09	0.731
Astle_et_al_2016_Eosinophil_counts	Heart_Left_Ventricle	intron_1_8422807_8424788	2.12699645286334e-12	0.575
Astle_et_al_2016_Eosinophil_counts	Heart_Left_Ventricle	intron_16_68275249_68284880	1.10899995262825e-09	0.703
Astle_et_al_2016_Eosinophil_counts	Heart_Left_Ventricle	intron_16_68285013_68287746	1.80400126639942e-09	0.627
Astle_et_al_2016_Eosinophil_counts	Heart_Left_Ventricle	intron_9_136432586_136432956	4.16692101655432e-09	0.545
Astle_et_al_2016_Eosinophil_counts	Heart_Left_Ventricle	intron_9_136432583_136432956	5.32500307867276e-09	0.608
Astle_et_al_2016_Eosinophil_counts	Liver	intron_11_308889_309013	1.69080613973761e-17	0.737
Astle_et_al_2016_Eosinophil_counts	Liver	intron_8_144103225_144103553	1.65292781534272e-15	0.718
Astle_et_al_2016_Eosinophil_counts	Lung	intron_15_79961174_79970700	4.01562129394023e-20	0.535
Astle_et_al_2016_Eosinophil_counts	Lung	intron_15_79961174_79967637	2.94199972362632e-18	0.565
Astle_et_al_2016_Eosinophil_counts	Lung	intron_11_308889_309013	5.91799691301262e-18	0.992
Astle_et_al_2016_Eosinophil_counts	Lung	intron_9_91214425_91217277	2.89200240037121e-14	0.634
Astle_et_al_2016_Eosinophil_counts	Lung	intron_1_8422807_8465925	2.12699645286336e-12	0.794
Astle_et_al_2016_Eosinophil_counts	Lung	intron_17_75828086_75828787	4.12300382968713e-09	0.706
Astle_et_al_2016_Eosinophil_counts	Lung	intron_9_136432583_136432956	5.32500307867276e-09	0.749
Astle_et_al_2016_Eosinophil_counts	Lung	intron_9_136432586_136432956	6.01999983755496e-09	0.765
Astle_et_al_2016_Eosinophil_counts	Lung	intron_9_136433279_136434037	8.63654763860059e-09	0.584
Astle_et_al_2016_Eosinophil_counts	Minor_Salivary_Gland	intron_5_132471054_132475667	1.77997659321613e-94	0.514
Astle_et_al_2016_Eosinophil_counts	Minor_Salivary_Gland	intron_9_136432586_136432956	3.72932916849342e-09	0.688
Astle_et_al_2016_Eosinophil_counts	Minor_Salivary_Gland	intron_9_136432583_136432956	5.12575934469162e-09	0.684
Astle_et_al_2016_Eosinophil_counts	Muscle_Skeletal	intron_14_93953507_93954317	1.54655031771938e-17	1
Astle_et_al_2016_Eosinophil_counts	Muscle_Skeletal	intron_14_93951244_93953352	4.40565712253461e-13	1
Astle_et_al_2016_Eosinophil_counts	Muscle_Skeletal	intron_1_8422807_8423167	2.12699645286336e-12	0.79
Astle_et_al_2016_Eosinophil_counts	Muscle_Skeletal	intron_1_8423247_8423561	2.12699645286336e-12	0.507
Astle_et_al_2016_Eosinophil_counts	Muscle_Skeletal	intron_1_8422807_8423561	2.12699645286336e-12	0.798
Astle_et_al_2016_Eosinophil_counts	Muscle_Skeletal	intron_1_8422807_8424788	2.1269964528634e-12	0.805
Astle_et_al_2016_Eosinophil_counts	Muscle_Skeletal	intron_15_67165384_67166779	1.15900146346123e-10	0.663
Astle_et_al_2016_Eosinophil_counts	Muscle_Skeletal	intron_9_136432583_136432956	1.73877090641546e-09	0.758
Astle_et_al_2016_Eosinophil_counts	Muscle_Skeletal	intron_9_136432586_136432956	1.76875426107313e-09	0.758
Astle_et_al_2016_Eosinophil_counts	Muscle_Skeletal	intron_16_68275249_68284880	1.8040012663994e-09	0.71
Astle_et_al_2016_Eosinophil_counts	Nerve_Tibial	intron_4_38664461_38680587	3.45799556774288e-48	0.528
Astle_et_al_2016_Eosinophil_counts	Nerve_Tibial	intron_19_45854507_45861900	1.86000168057204e-17	0.521
Astle_et_al_2016_Eosinophil_counts	Nerve_Tibial	intron_19_45862027_45863058	2.24130925412237e-17	0.507
Astle_et_al_2016_Eosinophil_counts	Nerve_Tibial	intron_9_136432586_136432956	1.77899777950267e-09	0.748
Astle_et_al_2016_Eosinophil_counts	Nerve_Tibial	intron_9_136432583_136432956	2.89408433940437e-09	0.747
Astle_et_al_2016_Eosinophil_counts	Nerve_Tibial	intron_11_57415106_57417748	2.64800357708045e-08	0.836
Astle_et_al_2016_Eosinophil_counts	Ovary	intron_11_308438_309013	1.37557885080188e-10	0.598
Astle_et_al_2016_Eosinophil_counts	Ovary	intron_9_136432586_136432956	3.43578393356523e-09	0.707
Astle_et_al_2016_Eosinophil_counts	Ovary	intron_9_136432583_136432956	3.61692528790836e-09	0.707
Astle_et_al_2016_Eosinophil_counts	Pancreas	intron_9_136432583_136432956	1.77899777950266e-09	0.525
Astle_et_al_2016_Eosinophil_counts	Pancreas	intron_9_136432586_136432956	4.18030857150691e-09	0.556
Astle_et_al_2016_Eosinophil_counts	Pituitary	intron_2_241750579_241751246	4.94046688120659e-17	0.635
Astle_et_al_2016_Eosinophil_counts	Pituitary	intron_8_144103225_144104025	6.71161362023406e-16	0.551
Astle_et_al_2016_Eosinophil_counts	Pituitary	intron_8_144103225_144103553	8.75798951229894e-16	0.649
Astle_et_al_2016_Eosinophil_counts	Pituitary	intron_19_48954962_48956198	1.13200162402906e-09	0.511
Astle_et_al_2016_Eosinophil_counts	Pituitary	intron_9_136432586_136432956	7.02283861399825e-09	0.701
Astle_et_al_2016_Eosinophil_counts	Pituitary	intron_9_136432583_136432956	8.26872835728285e-09	0.715
Astle_et_al_2016_Eosinophil_counts	Prostate	intron_9_136432586_136432956	4.19203866334576e-09	0.511
Astle_et_al_2016_Eosinophil_counts	Prostate	intron_9_136432583_136432956	7.89403389018044e-09	0.548
Astle_et_al_2016_Eosinophil_counts	Skin_Not_Sun_Exposed_Suprapubic	intron_13_99200939_99231434	2.36599781971848e-18	0.521
Astle_et_al_2016_Eosinophil_counts	Skin_Not_Sun_Exposed_Suprapubic	intron_1_8422807_8465925	2.12699645286334e-12	0.79
Astle_et_al_2016_Eosinophil_counts	Skin_Not_Sun_Exposed_Suprapubic	intron_1_8422807_8423561	2.12699645286338e-12	0.787
Astle_et_al_2016_Eosinophil_counts	Skin_Not_Sun_Exposed_Suprapubic	intron_19_48954962_48955687	1.03800162146297e-10	0.66
Astle_et_al_2016_Eosinophil_counts	Skin_Not_Sun_Exposed_Suprapubic	intron_1_8438300_8465925	4.06475230547807e-10	0.646
Astle_et_al_2016_Eosinophil_counts	Skin_Not_Sun_Exposed_Suprapubic	intron_9_136432583_136432956	4.69213356990642e-09	0.752
Astle_et_al_2016_Eosinophil_counts	Skin_Not_Sun_Exposed_Suprapubic	intron_9_136432586_136432956	6.019999837555e-09	0.748
Astle_et_al_2016_Eosinophil_counts	Skin_Sun_Exposed_Lower_leg	intron_13_99200939_99231434	7.11405766856644e-19	0.713
Astle_et_al_2016_Eosinophil_counts	Skin_Sun_Exposed_Lower_leg	intron_8_144103225_144103553	8.75798951229894e-16	0.77
Astle_et_al_2016_Eosinophil_counts	Skin_Sun_Exposed_Lower_leg	intron_8_144103225_144103847	1.33707768375302e-14	0.806
Astle_et_al_2016_Eosinophil_counts	Skin_Sun_Exposed_Lower_leg	intron_1_8422807_8424015	2.12699645286336e-12	0.568
Astle_et_al_2016_Eosinophil_counts	Skin_Sun_Exposed_Lower_leg	intron_1_8422807_8465925	2.27541034000529e-10	0.755
Astle_et_al_2016_Eosinophil_counts	Skin_Sun_Exposed_Lower_leg	intron_9_136432586_136432956	1.78886252714698e-09	0.753
Astle_et_al_2016_Eosinophil_counts	Skin_Sun_Exposed_Lower_leg	intron_9_136432583_136432956	4.56524886209265e-09	0.758
Astle_et_al_2016_Eosinophil_counts	Small_Intestine_Terminal_Ileum	intron_5_132471054_132475667	1.67527152805015e-29	0.553
Astle_et_al_2016_Eosinophil_counts	Small_Intestine_Terminal_Ileum	intron_14_93951244_93953352	1.14400294101174e-20	0.592
Astle_et_al_2016_Eosinophil_counts	Small_Intestine_Terminal_Ileum	intron_3_112347222_112351589	1.07800119702263e-13	0.597
Astle_et_al_2016_Eosinophil_counts	Small_Intestine_Terminal_Ileum	intron_1_93290686_93305388	1.62828089753559e-12	0.503
Astle_et_al_2016_Eosinophil_counts	Small_Intestine_Terminal_Ileum	intron_9_136432583_136432956	1.77899777950267e-09	0.778
Astle_et_al_2016_Eosinophil_counts	Small_Intestine_Terminal_Ileum	intron_9_136432586_136432956	6.01999983755496e-09	0.778
Astle_et_al_2016_Eosinophil_counts	Small_Intestine_Terminal_Ileum	intron_17_5335344_5336488	1.84099903849652e-08	0.503
Astle_et_al_2016_Eosinophil_counts	Spleen	intron_2_96536830_96547402	4.7970208540743e-40	0.853
Astle_et_al_2016_Eosinophil_counts	Spleen	intron_2_96540677_96547402	1.43899818806386e-38	0.872
Astle_et_al_2016_Eosinophil_counts	Spleen	intron_15_79961174_79970700	2.83278475799386e-20	0.605
Astle_et_al_2016_Eosinophil_counts	Spleen	intron_15_79961174_79967637	1.78200074531285e-18	0.659
Astle_et_al_2016_Eosinophil_counts	Spleen	intron_7_75813774_75823322	1.86899925147957e-16	0.76
